Year,Fleet,Unit,Estimate,SD_mt,SD_log,Version
2008,Both,[number/1000],484296411.5,21243459.99,0.051408787,2023
2009,Both,[number/1000],714651282,28072866.94,0.04605123,2023
2010,Both,[number/1000],751996509,32042279.66,0.049192252,2023
2011,Both,[number/1000],862113811.7,35537756.22,0.048287332,2023
2012,Both,[number/1000],1052650749,52848456.82,0.059468921,2023
2013,Both,[number/1000],760050533.4,36159070.14,0.05607981,2023
2014,Both,[number/1000],1229682439,70301526.29,0.068381044,2023
2015,Both,[number/1000],1083380793,60463679.86,0.066665018,2023
2016,Both,[number/1000],941158208.5,72027215.54,0.093877074,2023
2017,Both,[number/1000],519281137.2,19304614.19,0.043683924,2023
2018,Both,[number/1000],527053290.2,27340996.71,0.062977689,2023
2019,Both,[number/1000],761533035.7,32813874.59,0.050969782,2023
2020,Both,[number/1000],,,,2023
2021,Both,[number/1000],605259772.9,28226091.53,0.054974471,2023
2022,Both,[number/1000],551869130.5,22373723.32,0.047566859,2023
2023,Both,[number/1000],620421592.1,24639435.86,0.046551518,2023
1982,EBS,[number/1000],642645497.1,26150015.76,0.0477699,2023
1983,EBS,[number/1000],756164601.2,34251386.08,0.053186476,2023
1984,EBS,[number/1000],658515900.9,26522191.8,0.047066542,2023
1985,EBS,[number/1000],820840238.8,30672375.01,0.043585972,2023
1986,EBS,[number/1000],840061658.2,32823434.9,0.045727298,2023
1987,EBS,[number/1000],729778245,27495903.59,0.044222997,2023
1988,EBS,[number/1000],516425274.3,20156407.73,0.04543272,2023
1989,EBS,[number/1000],333022645.1,15404997.24,0.054011914,2023
1990,EBS,[number/1000],443147699,18682511.03,0.048863635,2023
1991,EBS,[number/1000],484757381.2,22119348.09,0.052920585,2023
1992,EBS,[number/1000],536189562.2,25930759.24,0.056574675,2023
1993,EBS,[number/1000],764416399.4,35114882.74,0.053497862,2023
1994,EBS,[number/1000],1137272016,47669318.69,0.048726556,2023
1995,EBS,[number/1000],699971216.6,28670994.31,0.047646952,2023
1996,EBS,[number/1000],559069429.9,24896135.55,0.051906961,2023
1997,EBS,[number/1000],482698295,20767700.9,0.05017085,2023
1998,EBS,[number/1000],556591014.4,31542980.34,0.066171345,2023
1999,EBS,[number/1000],514668817.6,23915230.89,0.054670673,2023
2000,EBS,[number/1000],496893119.7,23593362,0.055159652,2023
2001,EBS,[number/1000],979739836.4,46128200.55,0.054744133,2023
2002,EBS,[number/1000],588476036.2,35008623.71,0.06952129,2023
2003,EBS,[number/1000],568035124,37070956.16,0.07671374,2023
2004,EBS,[number/1000],460257843.5,32238912.82,0.081538816,2023
2005,EBS,[number/1000],469515529.5,28839534.21,0.071704997,2023
2006,EBS,[number/1000],429313425.1,17070055.49,0.04615601,2023
2007,EBS,[number/1000],571749203.5,24881122.38,0.050647018,2023
2008,EBS,[number/1000],471751228.8,20729443.38,0.051244445,2023
2009,EBS,[number/1000],688346590.7,26703587.1,0.045218693,2023
2010,EBS,[number/1000],742601976.8,32012821.74,0.049756294,2023
2011,EBS,[number/1000],816872487.4,32752809.69,0.046599652,2023
2012,EBS,[number/1000],1027349178,51964416.27,0.059620948,2023
2013,EBS,[number/1000],714531285.4,32848898.11,0.05356374,2023
2014,EBS,[number/1000],1084806966,54455097.73,0.058670105,2023
2015,EBS,[number/1000],946166693.3,44220858.52,0.054460999,2023
2016,EBS,[number/1000],710512943.8,35975572.26,0.059362993,2023
2017,EBS,[number/1000],377280830.3,16437198.2,0.050964755,2023
2018,EBS,[number/1000],294324123.8,16911099.07,0.067767053,2023
2019,EBS,[number/1000],544487649.5,29330962.89,0.063400663,2023
2020,EBS,[number/1000],,,,2023
2021,EBS,[number/1000],490315667.6,26855433.55,0.064445991,2023
2022,EBS,[number/1000],464656909.4,21350939.01,0.053847566,2023
2023,EBS,[number/1000],566850099.4,24066865.14,0.049682117,2023
1982,NBS,[number/1000],73592989.32,19596319.09,0.368227368,2023
1983,NBS,[number/1000],116717054.9,31520613.63,0.378374446,2023
1984,NBS,[number/1000],48720060.16,13817513.61,0.402621265,2023
1985,NBS,[number/1000],77609426.22,16411989.21,0.284879647,2023
1986,NBS,[number/1000],46211261.11,12975927.39,0.400539282,2023
1987,NBS,[number/1000],96895732.35,26482184.89,0.388714073,2023
1988,NBS,[number/1000],29773310.92,4188042.478,0.17507722,2023
1989,NBS,[number/1000],26033641.42,6970633.554,0.374547283,2023
1990,NBS,[number/1000],29805257.31,7889152.6,0.36576975,2023
1991,NBS,[number/1000],29203199.76,4961352.943,0.217764331,2023
1992,NBS,[number/1000],22551233.32,6369899.582,0.399706031,2023
1993,NBS,[number/1000],64120987.3,17803237.86,0.392561289,2023
1994,NBS,[number/1000],38600269.08,12251233.64,0.467990843,2023
1995,NBS,[number/1000],22592156.22,7406366.75,0.4894231,2023
1996,NBS,[number/1000],53406954.34,17078548.32,0.478367125,2023
1997,NBS,[number/1000],39427914.17,12205806.09,0.457946267,2023
1998,NBS,[number/1000],61397121.57,17687151.34,0.421485286,2023
1999,NBS,[number/1000],10178680.14,3352780.361,0.513852144,2023
2000,NBS,[number/1000],21472460.74,6481427.501,0.440451318,2023
2001,NBS,[number/1000],29526160.83,9454682.945,0.470912905,2023
2002,NBS,[number/1000],41823302.98,11738077.65,0.407355388,2023
2003,NBS,[number/1000],56727035.58,16574701,0.435732908,2023
2004,NBS,[number/1000],31349009.4,9010632.842,0.420486125,2023
2005,NBS,[number/1000],34344817.08,8744397.094,0.359227822,2023
2006,NBS,[number/1000],11552254.68,3373571.717,0.421123302,2023
2007,NBS,[number/1000],24513616.34,6818748.992,0.39509043,2023
2008,NBS,[number/1000],12545182.67,3633286.794,0.417357291,2023
2009,NBS,[number/1000],26304691.27,6925099.145,0.363375169,2023
2010,NBS,[number/1000],9394532.229,1006178.533,0.126150601,2023
2011,NBS,[number/1000],45241324.28,11929360.67,0.360304175,2023
2012,NBS,[number/1000],25301571.7,7569908.613,0.442847947,2023
2013,NBS,[number/1000],45519247.98,13328678.04,0.422980776,2023
2014,NBS,[number/1000],144875472.7,41305959.29,0.41335923,2023
2015,NBS,[number/1000],137214100.2,38604342.81,0.406341542,2023
2016,NBS,[number/1000],230645264.7,60353548.69,0.374347346,2023
2017,NBS,[number/1000],142000306.9,9912030.323,0.083018904,2023
2018,NBS,[number/1000],232729166.4,21213546.21,0.114922316,2023
2019,NBS,[number/1000],217045386.2,14293668.77,0.078899882,2023
2020,NBS,[number/1000],,,,2023
2021,NBS,[number/1000],114944105.3,7805828.699,0.080698972,2023
2022,NBS,[number/1000],87212221.08,6311794.44,0.085460068,2023
2023,NBS,[number/1000],53571492.7,4873291.142,0.108592493,2023
1982,Both,[number/1000],715517328.6,34300824.47,0.057165424,2024
1983,Both,[number/1000],873613312.1,49125056.69,0.067511007,2024
1984,Both,[number/1000],706333723.5,30817541.14,0.051611993,2024
1985,Both,[number/1000],901208370.4,35233740.46,0.046186454,2024
1986,Both,[number/1000],885008113.8,35964412.2,0.048001915,2024
1987,Both,[number/1000],825641077.1,39506412.24,0.057332385,2024
1988,Both,[number/1000],546100589.1,20642356.47,0.044165566,2024
1989,Both,[number/1000],359172791.4,17354320.87,0.057101092,2024
1990,Both,[number/1000],472140588.6,20692416.79,0.051309164,2024
1991,Both,[number/1000],513627319.2,22783750.75,0.051726106,2024
1992,Both,[number/1000],558055506,27088264.39,0.05717771,2024
1993,Both,[number/1000],828771804.1,40193749.4,0.05725996,2024
1994,Both,[number/1000],1174742378,49582999.73,0.049407829,2024
1995,Both,[number/1000],722059064.2,29843616.14,0.048411803,2024
1996,Both,[number/1000],613005030.5,30835851.77,0.059802322,2024
1997,Both,[number/1000],523442900,24585838.21,0.055685237,2024
1998,Both,[number/1000],619556655.6,36881754.66,0.07096654,2024
1999,Both,[number/1000],527894427.8,24359633.96,0.054621944,2024
2000,Both,[number/1000],518416637.4,24820793.37,0.056085032,2024
2001,Both,[number/1000],1009879503,47468053.45,0.05499199,2024
2002,Both,[number/1000],631717076.7,37620205.66,0.07050868,2024
2003,Both,[number/1000],625925879.7,41308951.16,0.079117343,2024
2004,Both,[number/1000],492384585.6,33943642.73,0.081312654,2024
2005,Both,[number/1000],503964618.2,30431609.92,0.071332878,2024
2006,Both,[number/1000],440786736.2,17509508.77,0.046351271,2024
2007,Both,[number/1000],596072936.2,26090748.37,0.051325576,2024
2008,Both,[number/1000],483587514,21136902.34,0.051220556,2024
2009,Both,[number/1000],713922931.9,27977389.76,0.045935469,2024
2010,Both,[number/1000],752482555.5,32014187.12,0.049127114,2024
2011,Both,[number/1000],862076821,35446815.28,0.048169693,2024
2012,Both,[number/1000],1053714988,52830864.37,0.059393038,2024
2013,Both,[number/1000],768343917.2,36717465.86,0.056405501,2024
2014,Both,[number/1000],1230165174,70014602.93,0.068068433,2024
2015,Both,[number/1000],1081398929,59974217.33,0.066227424,2024
2016,Both,[number/1000],941485483,71996290.52,0.093792605,2024
2017,Both,[number/1000],519064848.7,19262153.5,0.043610605,2024
2018,Both,[number/1000],527814197.6,27438796.01,0.063112945,2024
2019,Both,[number/1000],761370472.6,32683620.39,0.050772787,2024
2020,Both,[number/1000],0.004450252,0.001351041,0.424693774,2024
2021,Both,[number/1000],607307846.3,28648304.03,0.055598596,2024
2022,Both,[number/1000],552637225.5,22525733.27,0.047806563,2024
2023,Both,[number/1000],620365123.1,24383698.39,0.04603683,2024
2024,Both,[number/1000],501465761.8,22860917.04,0.054345393,2024
1982,EBS,[number/1000],643061459.9,26095755.36,0.047651941,2024
1983,EBS,[number/1000],757656433.8,34352449.57,0.053258884,2024
1984,EBS,[number/1000],659157192.3,26508420.78,0.047008674,2024
1985,EBS,[number/1000],824944468.3,30739724.44,0.043518799,2024
1986,EBS,[number/1000],840288793.6,32753918.86,0.045624539,2024
1987,EBS,[number/1000],729647667.4,27416318.32,0.044101674,2024
1988,EBS,[number/1000],516334523.4,20099711.09,0.045323668,2024
1989,EBS,[number/1000],333240642.3,15454062.61,0.054151755,2024
1990,EBS,[number/1000],442716838.5,18564592.96,0.048601884,2024
1991,EBS,[number/1000],484691621.8,22029335.18,0.052720523,2024
1992,EBS,[number/1000],535907343,25824468.9,0.056376127,2024
1993,EBS,[number/1000],764864036.5,35075802.34,0.053410621,2024
1994,EBS,[number/1000],1136603953,47527205.76,0.048613958,2024
1995,EBS,[number/1000],699719687.2,28587087.36,0.047529057,2024
1996,EBS,[number/1000],559253209.7,24867712.59,0.051842077,2024
1997,EBS,[number/1000],484693392.8,20867591.02,0.050247839,2024
1998,EBS,[number/1000],558375393.5,31673568.98,0.066281797,2024
1999,EBS,[number/1000],517943449.2,24006842.54,0.054613578,2024
2000,EBS,[number/1000],497150235.4,23666419.68,0.055303258,2024
2001,EBS,[number/1000],980464226.5,46246045.28,0.054851242,2024
2002,EBS,[number/1000],589588398.1,35283696.56,0.069939067,2024
2003,EBS,[number/1000],568385046.2,37212922.26,0.076961616,2024
2004,EBS,[number/1000],460817639.9,32444782.14,0.08196167,2024
2005,EBS,[number/1000],469632939.5,28908185.18,0.071860865,2024
2006,EBS,[number/1000],429372871.5,17038986.37,0.046072632,2024
2007,EBS,[number/1000],571676343,24813743.33,0.050522255,2024
2008,EBS,[number/1000],471144519.7,20626347.87,0.051052643,2024
2009,EBS,[number/1000],687815485.1,26619012,0.045108189,2024
2010,EBS,[number/1000],743123495.5,31984693.59,0.049688783,2024
2011,EBS,[number/1000],817336841.9,32703375.65,0.046512815,2024
2012,EBS,[number/1000],1029172037,51984095.38,0.059552384,2024
2013,EBS,[number/1000],724414455.1,33649445.95,0.054227069,2024
2014,EBS,[number/1000],1088015262,54669073.29,0.058748355,2024
2015,EBS,[number/1000],946561242.3,44117811.7,0.054316669,2024
2016,EBS,[number/1000],712076571.8,36244406.75,0.059680799,2024
2017,EBS,[number/1000],377253251.2,16416135.7,0.050904772,2024
2018,EBS,[number/1000],294751299.4,17052509.44,0.068220107,2024
2019,EBS,[number/1000],544265687.1,29201878.66,0.063128748,2024
2020,EBS,[number/1000],0.003911905,0.0012182,0.435511202,2024
2021,EBS,[number/1000],492616257.7,27312668.53,0.065222174,2024
2022,EBS,[number/1000],465438382.5,21512283.56,0.054135025,2024
2023,EBS,[number/1000],564901189.2,23766183.87,0.049153492,2024
2024,EBS,[number/1000],454294343.6,18624300.42,0.048124107,2024
1982,NBS,[number/1000],72455868.67,19288249.3,0.368132307,2024
1983,NBS,[number/1000],115956878.3,31315016.34,0.378881784,2024
1984,NBS,[number/1000],47176531.21,13382902.25,0.403154102,2024
1985,NBS,[number/1000],76263902.04,15954099.16,0.282355074,2024
1986,NBS,[number/1000],44719320.22,12564250.48,0.401063434,2024
1987,NBS,[number/1000],95993409.72,26180731.2,0.388351155,2024
1988,NBS,[number/1000],29766065.7,4154531.053,0.173719071,2024
1989,NBS,[number/1000],25932149.19,6935289.103,0.37410361,2024
1990,NBS,[number/1000],29423750.1,7793921.023,0.365633691,2024
1991,NBS,[number/1000],28935697.42,4923033.035,0.217661262,2024
1992,NBS,[number/1000],22148163.01,6261730.004,0.399316382,2024
1993,NBS,[number/1000],63907767.63,17732131.25,0.392021986,2024
1994,NBS,[number/1000],38138425.43,12110658.39,0.467590592,2024
1995,NBS,[number/1000],22339376.96,7322523.385,0.488564724,2024
1996,NBS,[number/1000],53751820.81,17141662.05,0.47685068,2024
1997,NBS,[number/1000],38749507.14,11968856.02,0.456457735,2024
1998,NBS,[number/1000],61181262.1,17588895.11,0.420344512,2024
1999,NBS,[number/1000],9950978.6,3279875.625,0.513165264,2024
2000,NBS,[number/1000],21266402.02,6408314.161,0.438400516,2024
2001,NBS,[number/1000],29415276.41,9386412.656,0.467831079,2024
2002,NBS,[number/1000],42128678.67,11809604.52,0.406354932,2024
2003,NBS,[number/1000],57540833.56,16817145.27,0.435713036,2024
2004,NBS,[number/1000],31566945.78,9068158.918,0.419960353,2024
2005,NBS,[number/1000],34331678.66,8737471.679,0.359062418,2024
2006,NBS,[number/1000],11413864.77,3334783.712,0.420633167,2024
2007,NBS,[number/1000],24396593.13,6798689.047,0.395425561,2024
2008,NBS,[number/1000],12442994.38,3617178.445,0.418495636,2024
2009,NBS,[number/1000],26107446.77,6892122.334,0.363821423,2024
2010,NBS,[number/1000],9359059.959,1003515.773,0.12607343,2024
2011,NBS,[number/1000],44739979.11,11829041.64,0.360980735,2024
2012,NBS,[number/1000],24542950.78,7386762.803,0.445012669,2024
2013,NBS,[number/1000],43929462.06,12918211.43,0.424566488,2024
2014,NBS,[number/1000],142149912.2,40579114.18,0.413954755,2024
2015,NBS,[number/1000],134837686.5,38005550.05,0.407145277,2024
2016,NBS,[number/1000],229408911.2,60172078.67,0.37535465,2024
2017,NBS,[number/1000],141811597.6,9867849.089,0.08278542,2024
2018,NBS,[number/1000],233062898.2,21231280,0.114891657,2024
2019,NBS,[number/1000],217104785.4,14269694.51,0.078774269,2024
2020,NBS,[number/1000],0.000538347,0.000190113,0.495034446,2024
2021,NBS,[number/1000],114691588.6,7764619.48,0.08045676,2024
2022,NBS,[number/1000],87198843.01,6312000.103,0.085525006,2024
2023,NBS,[number/1000],55463933.91,5054445.851,0.109529806,2024
2024,NBS,[number/1000],47171418.26,12111838.85,0.359892137,2024
